id_grupo_consulta,cliente,rut_integracion,barraf_m,barra_infotecnica_m,id_barra_infotecnica_m,modo_consulta,estado,motivos_bloqueo,mwh_armonizado
CONSULTA:bd69e08dd11bcd6d36a3261e,MANTOS COPPER S.A.,77418580-1,M.BLANCOS_____023,BA S/E MANTOS BLANCOS 23KV,2177,VECTOR_UNICO,APTO_ARMONIZADO,,23314.65845
CONSULTA:bd2f9e82023c19b2f0c632c5,MANTOVERDE S.A.,77020457-7,D.ALMAGRO_____110,BA S/E DIEGO DE ALMAGRO 110KV BP1-1,480,VECTOR_COMPARTIDO,APTO_ARMONIZADO,,34148.918101999996
CONSULTA:05fe877f5962d439a059c85a,MASISA S.A.,96802690-9,FIBRANOVA_____066,BA S/E FIBRANOVA 66KV,1119,VECTOR_COMPARTIDO,APTO_ARMONIZADO,,2727.6321150000003
CONSULTA:69803c58f64bc880869fbbc6,MASISA S.A.,96802690-9,MASISA________066,BA S/E CABRERO 66KV,1066,VECTOR_UNICO,APTO_ARMONIZADO,,10303.044724
CONSULTA:a3bf749a3ec2c26cc47b6cd7,MASISA S.A.,96802690-9,MAPAL_________154,BA S/E MAPAL 154KV BP,S/I,VECTOR_UNICO,APTO_ARMONIZADO,,2020.972604
CONSULTA:2dc5bec26c012f41de8dfeae,MASONITE CHILE S A,96773280-K,FIBRANOVA_____066,BA S/E FIBRANOVA 66KV,1119,VECTOR_UNICO,APTO_ARMONIZADO,,1578.713449
CONSULTA:df7d48226544d85a6bdc4bfe,MELON S.A.,76109779-2,CALERA.C______062,BA S/E CALERA CENTRO 62KV,77,VECTOR_UNICO,APTO_ARMONIZADO,,5093.0574639999995
CONSULTA:53e4b98f4831303a34d8e390,MICHILLA COSTA SPA,91840000-1,CHACAYA_______110,BA S/E CHACAYA 110KV BP1,2012,VECTOR_COMPARTIDO,APTO_ARMONIZADO,,7.169587000000001
CONSULTA:6fb52b9ea5fcf153d10dc8bf,MINERA ALTOS DE PUNITAQUI LIMITADA.,76099463-4,PUNITAQUI2____013,BA S/E PUNITAQUI 13.2KV BP2,2514,VECTOR_UNICO,APTO_ARMONIZADO,,2431.871354
CONSULTA:35ee33050bf2880f1f03ec3a,MINERA ANTUCOYA,76079669-7,ENLACE_SNG____220,S/E TAP OFF ENLACE,1958,VECTOR_UNICO,APTO_ARMONIZADO,,28590.709866999998
CONSULTA:6a8013958bc04bd848d0127c,MINERA CEMIN-PULLALLI SPA,78200830-7,D.AMIGOS______023,BA S/E DOS AMIGOS 23KV,485,VECTOR_UNICO,APTO_ARMONIZADO,,96.48661100000001
CONSULTA:a0d1e433b72acf8bc12e20bc,MINERA CENTINELA,76727040-2,CHACAYA_______110,BA S/E CHACAYA 110KV BP1,2012,VECTOR_COMPARTIDO,APTO_ARMONIZADO,,27057.479114
CONSULTA:f120e4cc961a113f7c6ca535,MINERA CENTINELA,76727040-2,TESORO________220,BA S/E EL TESORO 220KV BP,2085,VECTOR_UNICO,APTO_ARMONIZADO,,15753.505610999999
CONSULTA:fc3c7cd027e4a9a932c44aba,MINERA CENTINELA,76727040-2,ESPERANZA_SNG_220,BA S/E ESPERANZA (MINERA CENTINELA) 220KV BP,2106,VECTOR_UNICO,APTO_ARMONIZADO,,74558.498027
CONSULTA:18eb7a563912335c6fa8b097,MINERA ESCONDIDA LIMITADA,79587210-8,BOMBEO3_______004,BA S/E TAP OFF ESTACION DE BOMBEO N°3 4.16KV,2337,VECTOR_UNICO,APTO_ARMONIZADO,,963.395158
CONSULTA:41d49db7986a4deee89e4464,MINERA ESCONDIDA LIMITADA,79587210-8,ESCONDIDA_____220,BA S/E ESCONDIDA 220KV BP1,2092,VECTOR_COMPARTIDO,APTO_ARMONIZADO,,58391.536868
CONSULTA:565c65192bce2929f46f5c77,MINERA ESCONDIDA LIMITADA,79587210-8,COLOSO________220,BA S/E COLOSO 220KV BP1,2057,VECTOR_UNICO,APTO_ARMONIZADO,,53821.474822
CONSULTA:5c44c0d142beb3de04f2d740,MINERA ESCONDIDA LIMITADA,79587210-8,SULFUROS______220,BA S/E SULFUROS 220KV BP,2290,VECTOR_UNICO,APTO_ARMONIZADO,,49346.413498
CONSULTA:5eb3a493e6ba9e203fefd140,MINERA ESCONDIDA LIMITADA,79587210-8,PURI__________220,BA S/E PURI 220KV BP1,2250,VECTOR_UNICO,APTO_ARMONIZADO,,25883.171022
CONSULTA:5eb93484bf8dfe522d7a0523,MINERA ESCONDIDA LIMITADA,79587210-8,CHIMBORAZO____220,BA S/E CHIMBORAZO 220KV BP1,2024,VECTOR_UNICO,APTO_ARMONIZADO,,25055.426746
CONSULTA:860d1198202cc469a75e1f92,MINERA ESCONDIDA LIMITADA,79587210-8,FARELLON______220,BA S/E FARELLON 220KV BP1,2113,VECTOR_UNICO,APTO_ARMONIZADO,,25359.992111
CONSULTA:a9135e7ebb53c4d478fb66a9,MINERA ESCONDIDA LIMITADA,79587210-8,OGP1__________220,BA S/E OGP1 220KV BP1,2215,VECTOR_COMPARTIDO,APTO_ARMONIZADO,,84517.85387299999
CONSULTA:ad5079d06a6701d9eea10e03,MINERA ESCONDIDA LIMITADA,79587210-8,BOMBEO4_______004,BA S/E TAP OFF ESTACION DE BOMBEO N°4 4.16KV,2339,VECTOR_UNICO,APTO_ARMONIZADO,,886.560907
CONSULTA:e17222777449feec52d13dfb,MINERA ESCONDIDA LIMITADA,79587210-8,BOMBEO2_______004,BA S/E TAP OFF ESTACION DE BOMBEO N°2 4.16KV,2335,VECTOR_UNICO,APTO_ARMONIZADO,,735.184657
CONSULTA:f3cda7bb9382a67384dc9b0b,MINERA ESCONDIDA LIMITADA,79587210-8,DOMEYKO_______220,BA S/E DOMEYKO 220KV BP1,2070,VECTOR_COMPARTIDO,APTO_ARMONIZADO,,92063.77683799999
CONSULTA:0e5bdaf306629df5882ba66c,MINERA LAS CENIZAS S A,79963260-8,OXIDOS________110,BA S/E PLANTA OXIDO 110KV,S/I,VECTOR_UNICO,APTO_ARMONIZADO,,2390.696956
CONSULTA:44098256b77f56e296845158,MINERA LAS CENIZAS S A,79963260-8,CABILDO_______023,BA S/E CABILDO 23KV BP2,1812,VECTOR_UNICO,APTO_ARMONIZADO,,3937.53755
CONSULTA:be0c827bf0b88671e680a0c3,MINERA LAS CENIZAS S A,79963260-8,L.LUCES_______110,BA S/E LAS LUCES 110KV,S/I,VECTOR_UNICO,APTO_ARMONIZADO,,4119.133525
CONSULTA:c5206f1eef43fd3b619eba18,MINERA LO VALDES LIMITADA,84707300-4,QUELTEHUES____110,BA S/E CENTRAL QUELTEHUES 110KV BP1,7,VECTOR_UNICO,APTO_ARMONIZADO,,22.677641
CONSULTA:1c51643f3d7426902c96366a,MINERA LOS PELAMBRES,96790240-3,L.VILOS_______220,BA S/E LOS VILOS 220KV BP1,501,VECTOR_UNICO,APTO_ARMONIZADO,,4032.072389
CONSULTA:40f9c979c1b33fdc7ada284c,MINERA LOS PELAMBRES,96790240-3,QUILLOTA______220,BA S/E QUILLOTA 220KV BP1-1,519,VECTOR_COMPARTIDO,APTO_ARMONIZADO,,128060.43698
CONSULTA:1b51e3105b5b81ff23c05b15,MINERA MERIDIAN LIMITADA,96508670-6,PALESTINA_____220,BA S/E TAP OFF PALESTINA 220KV,2358,VECTOR_UNICO,APTO_ARMONIZADO,,8397.086707
CONSULTA:ddba2f5c1c46c9fb28b37637,MINERA MICHILLA SPA,76572421-K,EL_LINCE______023,BA S/E EL LINCE 23KV BP,2079,VECTOR_UNICO,APTO_ARMONIZADO,,5178.150715
CONSULTA:453924ae03ef5a7f9d4da328,MINERA SPENCE S.A.,86542100-1,KAPATUR_______220,BA S/E KAPATUR 220KV BP1,2140,VECTOR_COMPARTIDO,APTO_ARMONIZADO,,22228.828847999997
CONSULTA:e504e9b3fd2f6cb9f1120652,MINERA SPENCE S.A.,86542100-1,PALLATA_______220,BA S/E PALLATA 220KV BP1,3410,VECTOR_COMPARTIDO,APTO_ARMONIZADO,,87374.73273799999
CONSULTA:4a303875565f4ef649ff6375,MINERA TRES VALLES EN CONTINUIDAD DE ACTIVIDADES ECONOMICAS SPA,77856200-6,SALAMANCA_____110,BA S/E SALAMANCA 110KV BP1,164,VECTOR_UNICO,APTO_ARMONIZADO,,1396.428133
CONSULTA:786bd678ecd8c486c6c02344,MINERA VALLE CENTRAL S A,96595400-7,M.V.CEN.______154,BA S/E MINERA VALLE CENTRAL 154KV BP1,1322,VECTOR_UNICO,APTO_ARMONIZADO,,29313.688092
CONSULTA:6f971b211a112a0ae84a2b82,MOLY COP CHILE S A,92244000-K,S.VICENTE_____154,BA S/E SAN VICENTE 154KV BP2-1,1672,VECTOR_UNICO,APTO_ARMONIZADO,,3973.6846140000002
CONSULTA:902d670a153353fbd3d7e683,MOLY COP CHILE S A,92244000-K,MOLYCOP_______220,BA S/E MOLYCOP 220KV,S/I,VECTOR_UNICO,APTO_ARMONIZADO,,8277.44951
CONSULTA:ca41a4dcb0f540ccfafc68e4,NUEVA ATACAMA S.A.,76850128-9,CALDERA_______110,BA S/E CALDERA 110KV BP1,4399,VECTOR_COMPARTIDO,APTO_ARMONIZADO,,2727.652655
CONSULTA:be337721c37a7619caea8a83,OCCIDENTAL CHEMICAL CHILE LIMITADA,93797000-5,ESPERANZA_SNG_220,BA S/E ESPERANZA (MINERA CENTINELA) 220KV BP,2106,VECTOR_UNICO,APTO_ARMONIZADO,,3700.219775
CONSULTA:eace0ce004d4612d93c4a41e,OCCIDENTAL CHEMICAL CHILE LIMITADA,93797000-5,OXY___________154,BA S/E OXY 154KV BP1,1137,VECTOR_UNICO,APTO_ARMONIZADO,,11330.351924
CONSULTA:5279a6ad0ddce72a4bff8fdb,ORGANIZACION EUROPEA PARA LA INVESTIGACION ASTRONOMICA EN EL HEMISFERIO AUSTRAL,82677300-6,PAJONAL_______023,BA S/E CENTRAL PAJONALES 23KV BP1,3029,VECTOR_UNICO,APTO_ARMONIZADO,,250.401604
CONSULTA:feb72d8ef85705f6699404d7,PAMPA CAMARONES SPA,76085153-1,TVITOR________023,BA S/E TAP OFF VITOR,S/I,VECTOR_UNICO,APTO_ARMONIZADO,,1678.640145
CONSULTA:a481764e5a25740f200fc061,PAPELERA DOS S.A,77371287-5,S.P.PAPELES___066,BA S/E PAPELERA BIO BIO 66KV,1803,VECTOR_UNICO,APTO_ARMONIZADO,,9268.599832
CONSULTA:f6bb6d943b0b3da51791274e,PAPELES CORDILLERA SPA,96853150-6,PALTO_________110,BA S/E PUENTE ALTO (CMPC) 110KV BP1,1202,VECTOR_UNICO,APTO_ARMONIZADO,,15157.379933
CONSULTA:ff59e7a4e19da1b5ae75eb60,PETROQUIM S A,78021560-7,PETROPOWER____066,BA S/E PETROPOWER 66KV BP1,101,VECTOR_UNICO,APTO_ARMONIZADO,,3051.692188
CONSULTA:511535d2b3912b71bb755b6e,PLAZA ANTOFAGASTA S A,99555550-6,ANTOFAGASTA___013,BA S/E ANTOFAGASTA 13.8KV BP1,1888,VECTOR_UNICO,APTO_ARMONIZADO,,1687.245993
CONSULTA:cd3daacf23fe5b05268c9e45,PRODUCTOS BITUMINOSOS S A,96724760-K,MEJILLONES____110,BA S/E MEJILLONES 110KV BP,2184,VECTOR_UNICO,APTO_ARMONIZADO,,28.964779999999998
CONSULTA:8b19708a7bc0f74457ddb428,PUERTO DE MEJILLONES S.A.,96676520-8,CHACAYA_______004,BA S/E CENTRAL MEJILLONES 4.16KV,1965,VECTOR_UNICO,APTO_ARMONIZADO,,354.487347
CONSULTA:b965b3afca77e5d3b785f53d,PUERTO VENTANAS S A,96602640-5,QUINTERO______013,BA S/E QUINTERO 12kV BP1,1029,VECTOR_UNICO,APTO_ARMONIZADO,,647.651982
CONSULTA:d92a9820659e4780293ae5ba,QUIBORAX S.A.,79639570-2,AGUILA________066,BA S/E TAP OFF EL AGUILA 13.8KV BP1,2328,VECTOR_COMPARTIDO,APTO_ARMONIZADO,,2121.012384
CONSULTA:f94ddff1322630f690d2afd8,SALVA-21 SPA,77363424-6,PALLATA_______220,BA S/E PALLATA 220KV BP1,3410,VECTOR_UNICO,APTO_ARMONIZADO,,461.337506
CONSULTA:9c460c29aedfd52c26eca9b3,SCM MINERA LUMINA COPPER CHILE,99531960-8,CASERONES_____220,BA S/E MAITENCILLO 220KV BP1-1,505,VECTOR_COMPARTIDO,APTO_ARMONIZADO,,89605.84003400001
CONSULTA:5d15556f15bb91fd40f6ce32,SIERRA GORDA S.C.M.,76081590-K,S.GORDA_______220,BA S/E SIERRA GORDA 220KV BP1,2273,VECTOR_UNICO,APTO_ARMONIZADO,,88058.906792
CONSULTA:7fdc96663eaf2296c277c6d3,SIERRA GORDA S.C.M.,76081590-K,CHACAYA_______004,BA S/E CENTRAL MEJILLONES 4.16KV,1965,VECTOR_UNICO,APTO_ARMONIZADO,,1663.14016
CONSULTA:abee32de74f029ba75828ca2,SIERRA GORDA S.C.M.,76081590-K,ANGAMOS_______220,BA S/E ANGAMOS 220KV BP2,1886,VECTOR_COMPARTIDO,APTO_ARMONIZADO,,21103.905478999997
CONSULTA:2f2866d576ddceb2e29abf75,SOC CONTRACTUAL MINERA ATACAMA KOZAN LIMITADA,77134510-7,T.AMARILLA____110,BA S/E TIERRA AMARILLA 110KV BP1-S1,551,VECTOR_COMPARTIDO,APTO_ARMONIZADO,,4582.1926490000005
CONSULTA:3a8734f241a0bb6fc3cac54c,SOC CONTRACTUAL MINERA EL ABRA,96701340-4,ELABRA________220,BA S/E EL ABRA 220KV BP2 (AIS),2073,VECTOR_UNICO,APTO_ARMONIZADO,,57806.429585
CONSULTA:09dcf36e78e98b10a7711177,SOC QUIMICA Y MINERA DE CHILE S A,93007000-9,URIBE_________023,BA S/E URIBE 23KV,2380,VECTOR_UNICO,OMITIDO_BARRAF_AUSENTE_EN_ENS,,
CONSULTA:2c5b44a7979fb7f097e0c514,SOC QUIMICA Y MINERA DE CHILE S A,93007000-9,TOCOPILLA_____005,BA S/E TOCOPILLA 5KV,2376,VECTOR_UNICO,APTO_ARMONIZADO,,183.9054
CONSULTA:47ca6022fc14eb6fa21ab03a,SOC QUIMICA Y MINERA DE CHILE S A,93007000-9,T.ACCNORTE____110,BA S/E CARBONATO 23KV BP1,3428,VECTOR_UNICO,APTO_ARMONIZADO,,16810.451386
CONSULTA:6edc84689d90565a4b2a8738,SOC QUIMICA Y MINERA DE CHILE S A,93007000-9,OESTE_________220,BA S/E TAP OFF OESTE 220KV,S/I,VECTOR_UNICO,APTO_ARMONIZADO,,14861.837827
CONSULTA:a45658cede3dff00d3eb46b7,SOC QUIMICA Y MINERA DE CHILE S A,93007000-9,LAGUNAS_______023,BA S/E LAGUNAS 23KV BP1,2163,VECTOR_UNICO,APTO_ARMONIZADO,,6061.885406
CONSULTA:aee1ebb5367afd194cb38146,SOC QUIMICA Y MINERA DE CHILE S A,93007000-9,LOA___________220,BA S/E TAP OFF EL LOA 220KV BP,2325,VECTOR_UNICO,APTO_ARMONIZADO,,6934.370749
CONSULTA:beba19dc0b48f64dd79f2c29,SOC QUIMICA Y MINERA DE CHILE S A,93007000-9,N.VICTORIA____220,BA S/E TAP OFF NUEVA VICTORIA 220KV,S/I,VECTOR_COMPARTIDO,APTO_ARMONIZADO,,6651.720889
CONSULTA:f208f05b67ec1378c0c49ebe,SOC QUIMICA Y MINERA DE CHILE S A,93007000-9,LACRUZ________220,BA S/E TAP OFF LA CRUZ 220KV BP,2340,VECTOR_UNICO,APTO_ARMONIZADO,,3755.463952
CONSULTA:01c0b49999511d4e01db9ad8,SOCIEDAD CONCESIONARIA TUNEL EL MELON II S.A,76574787-2,TMELON________012,BA S/E TUNEL EL MELON 12KV BP1,1047,VECTOR_UNICO,APTO_ARMONIZADO,,303.084875
CONSULTA:95a62e41e607f16d08730898,SOCIEDAD CONTRACTUAL MINERA FRANKE,76051610-4,D.ALMAGRO_____110,BA S/E DIEGO DE ALMAGRO 110KV BP1-1,480,VECTOR_UNICO,APTO_ARMONIZADO,,4220.080129
CONSULTA:3d6093107f15b0d6b8d24c5d,SOCIEDAD DE PROCESAMIENTO DE MOLIBDENO SPA,76148338-2,ATACAMA_______023,BA S/E ATACAMA 23KV BP,1902,VECTOR_UNICO,APTO_ARMONIZADO,,2422.1270980000004
CONSULTA:2b26fb4ffdff6d47b14a51ad,SOCIEDAD GNL MEJILLONES S.A.,76775710-7,CHACAYA_______110,BA S/E CHACAYA 110KV BP1,2012,VECTOR_UNICO,APTO_ARMONIZADO,,1269.074541
CONSULTA:ca01385215ec66ca2a36e339,SOCIEDAD GNL MEJILLONES S.A.,76775710-7,MEJILLONES____023,BA S/E MEJILLONES 23KV,S/I,VECTOR_UNICO,APTO_ARMONIZADO,,3.158953
CONSULTA:624173e47460d3f63164d63b,SOFTYS CHILE SPA,96529310-8,PALTO_________110,BA S/E PUENTE ALTO (CMPC) 110KV BP1,1202,VECTOR_UNICO,APTO_ARMONIZADO,,3586.048518
CONSULTA:9b087fb1a6023101a874561b,SOFTYS CHILE SPA,96529310-8,ISLADMAIPO____066,BA S/E ISLA DE MAIPO 66KV BP1,378,VECTOR_UNICO,APTO_ARMONIZADO,,9729.120204
CONSULTA:510a4a9b535c8ab882f54ef9,TELEFONICA MOVILES CHILE S.A.,76124890-1,N.VICTORIA____220,BA S/E TAP OFF NUEVA VICTORIA 220KV,S/I,VECTOR_UNICO,APTO_ARMONIZADO,,1.060532
CONSULTA:ab5132b0a6d0c72c70f63b06,TERMINAL MARITIMO PATACHE S A,96970050-6,TARAPACA______220,BA S/E TARAPACA 220KV BP1,2372,VECTOR_UNICO,APTO_ARMONIZADO,,92.686234
